PSAP ID,PSAP Name,County,City,State,Zip,Text to TTY,Web Browser,DirectIP,RTT,Other
3410,Hillsdale County Central Dispatch/911,Hillsdale,Hillsdale,MI,49242,,,1,,
3215,Carroll County Emergency Services,Carroll,New Windsor,MD,21776,,,1,,
1673,Titusville Police Deparment,Brevard,Viera,FL,32940,,,1,,
1664,Sumter County 911,Sumter,Wildwood ,FL,34785,,,1,,
1650,Satellite Beach Police Department,Brevard,Viera,FL,32940,,,1,,
1642,Rockledge Police Department,Brevard,Viera,FL,32940,,,1,,
1616,Palm Bay Police Department,Brevard,Viera,FL,32940,,,1,,
1582,Melbourne Police Department,Brevard,Viera,FL,32940,,,1,,
1539,Indialantic Harbour Beach Police Department,Brevard,Viera,FL,32940,,,1,,
1538,Indialantic Police Department,Brevard,Viera,FL,32940,,,1,,
1483,Cocoa Police Department,Brevard,Viera,FL,32940,,,1,,
1482,Cocoa Beach Police Department,Brevard,Viera,FL,32940,,,1,,
1463,Brevard County Sheriff's Office,Brevard,Viera,FL,32940,,,1,,
1462,Brevard County Fire Rescue,Brevard,Viera,FL,32940,,,1,,
1293,Woodland Park Police Department,Teller County,Colorado Springs,CO,80910,,1,,,
1114,Cripple Creek Police Department,Teller County,Colorado Springs,CO,80910,,1,,,
1048,Willits Police Department,Mendocino,Willits ,CA,95482,,,1,,
1046,Westminister Police Department,Orange,Silverado ,CA,92676,,1,,,
1043,West-Com-West Cities,Orange,Silverado ,CA,92676,,1,,,
1021,Ukiah Police Department,Mendocino,Ukiah,CA,95482,,,1,,
1014,UC Irvine Police Department,Orange,Silverado ,CA,92676,,1,,,
1010,Tustin Police Department,Orange,Silverado ,CA,92676,,1,,,
948,Santa Ana Police Department,Orange,Silverado ,CA,92676,,1,,,
876,Placentia Police Department,Orange,Silverado ,CA,92676,,1,,,
850,Novato Police Department,Marin,Novato ,CA,94945,,1,,,
847,Newport Beach Police Department,Orange,Silverado ,CA,92676,,1,,,
816,Mendocino County Sheriff's Office,Mendocino,Ukiah,CA,95482,,,1,,
776,LaPalma Police Department,Orange,Silverado ,CA,92676,,1,,,
774,La  Habra Police Department,Orange,Silverado ,CA,92676,,1,,,
768,Irvine Police Department,Orange,Silverado ,CA,92676,,1,,,
759,Huntington Beach Police Department,Orange,Silverado ,CA,92676,,1,,,
739,Garden Grove Police Department,Orange,Silverado ,CA,92676,,1,,,
728,Fountain Valley Police Department,Orange,Silverado ,CA,92676,,1,,,
717,Fairfax Police Department,Marin,Fairfax,CA,94930,,1,,,
672,Costa Mesa Police - Fire,Orange,Silverado ,CA,92676,,1,,,
567,Buena Park Police Department,Orange,Silverado ,CA,92676,,1,,,
563,Brea Police Department,Orange,Silverado ,CA,92676,,1,,,
381,Sherwood Police Department,Pulaski,Sherwood,AR,72120,,,,,CallWorks 911 System
708,El Dorado County Sheriff's Office,El Dorado,Placerville,CA,95667,,1,,,
2034,Ada County Sheriff's Office,Ada, Boise ,ID,83704,,,1,,
2038,Bear Lake County 911,Bear Lake,Paris,ID,83261,,1,,,
2046,Boundary County 911,Boundary,Bonners Ferry ,ID,83805,,1,,,
2050,Camus County 911,Camus,Fairfield,ID,83327,,1,,,
2052,Caribou County 911,Caribou,Soda Springs,ID,83276,,1,,,
2057,Clearwater County 911,Clearwater,Orofino,ID,83544,,1,,,
2060,Franklin County 911,Franklin,Preston,ID,83263,,1,,,
2079,Minidoka County 911,Minidoka,Rupert,ID,83350,,1,,,
2085,Oneida County 911,Oneida,Malad City,ID,83252,,1,,,
2086,Owyhee County 911,Owyhee,Murphy,ID,83650,,1,,,
2712,Cherokee County Sheriff's Office,Cherokee,Columbus ,KS,66725,,,1,,
2801,Osage County Sheriff's Office,Osage,Lyndon,KS,66451,1,,,,
2831,Shawnee County Emergency Communicatins Center,Shawnee,Topeka,KS,66603,,,1,,
5115,Lewis County,Lewis,Lowville,NY,13367,1,,,,
5225,"Wayne County 911
(Primary and Back-up)",Wayne,Lyons,NY,11489,,,1,,
5758,Brookings Police,Burry,Brookings,OR,97415,,1,,,
6088,Oconee County Sheriff,Oconee,Walhalla ,SC,29691,,,1,,
6412,Atascosa County Sheriff's Office,Atascosa,San Antonio,TX,78216,,,1,,
6443,Kendall County Boerne Police Department,Kendall,San Antonio,TX,78216,,,1,,
6459,Brownfield Police Department,Terry,Lubbock,TX,79452,,,1,,
6490,Cochran County Sheriff's Department,Cochran ,Lubbock,TX,79452,,,1,,
6518,Crosby County Sheriff's Department,Crosby,Lubbock,TX,79452,,,1,,
6539,Denver City Police Department,Yoakum,Lubbock,TX,79452,,,1,,
6544,Dickens County Sheriffs Department,Dickens,Lubbock,TX,79452,,,1,,
6561,El Paso County 911 District,El Paso,El Paso,TX,79924,,,1,,
6581,Floyd County Sheriff's Department,Floyd,Lubbock,TX,79452,,,1,,
6589,Frio County Sheriff's Office,Frio,San Antonio,TX,78216,,,1,,
6604,Garza County Sheriffs Department,Garza,Lubbock,TX,79452,,,1,,
6607,Gillespie County Communications Center,Gillespie,San Antonio,TX,78216,,,1,,
6623,Hale County Sheriff's Department,Hale,Lubbock,TX,79452,,,1,,
6685,Karnes County Sheriff's Office,Karnes,San Antonio,TX,78216,,,1,,
